Portfolio value change between 2026-08-03 and 2026-08-04

Ticker    Close     +/-         %    Units       Value    Day Gain
ALK       1.292  -0.018    -1.37%  153,181  197,909.85   -2,757.26
AMP       2.150   0.030     1.42%   70,000  150,500.00    2,100.00
ASM       1.035   0.045     4.55%   57,458   59,469.03    2,585.61
BHP      59.740  -0.980    -1.61%   11,065  661,023.10  -10,843.70
CAN       0.003   0.000     0.00%   44,090      132.27        0.00
CBA     180.480   2.580     1.45%        0        0.00        0.00
CNB       0.750  -0.005    -0.66%   10,000    7,500.00      -50.00
CSL     127.050   2.750     2.21%    4,000  508,200.00   11,000.00
E25       0.265   0.005     1.92%   20,000    5,300.00      100.00
ERA       0.000  -0.002  -100.00%  700,000        0.00   -1,400.00
PTR       0.089   0.006     7.23%    9,412      837.67       56.47
VML       0.000  -0.100  -100.00%    6,000        0.00     -600.00
WBC      38.750   0.580     1.52%        0        0.00        0.00
WDS      32.815   0.315     0.97%    1,288   42,265.72      405.72
TOTAL                                     1,633,137.64      596.84
